S.No.,Sub-Label Name,,
1,Sushila Production,,25-Mar
2,Mandhaaram Creations,,25-Mar
3,Dakhlata Production,,25-Mar
4,Rockstar Amandeep,,25-Mar
5,Mr Pradhan Akhand ,,25-Mar
6,Cantabile Records,,25-Mar
7,SRSHT Music,,25-Mar
8,Bhojpuri Bytes,,25-Mar
9,Ringtone Music,,25-Mar
10,Dubby Bubbly,,25-Mar
11,Eshaan Lele Records,,25-Mar
12,Double R Records,,25-Mar
13,Dream Studio Entertainment,,25-Mar
14,FourHand Music,,25-Mar
15,Prajjwal singh,,25-Mar
16,Song of Winner,,25-Mar
17,The Grv Show,,24-Dec
18,Kanha Sonic,,24-Dec
19,Allah Ve,,24-Dec
20,OrmaKoodu,,24-Dec
21,Unity Music,,24-Dec
22,Pritesh Bhoir Music,,24-Dec
23,Gaurang Dwivedi,,24-Dec
24,Sanjeev Jain,,24-Dec
25,Kabir Isher,,24-Dec
26,Go Go Rohan Singh,,24-Dec
27,Pavan Sukare,,24-Dec
28,Doll Music,,24-Dec
29,Sattavan Music,,24-Dec
30,Diamond Musicals,,24-Dec
31,Creative Bastar Creations,,24-Dec
32,Yash Arora,,24-Dec
33,Rohit R R Patil,,24-Dec
34,Koyel Arang Music,,24-Dec
35,A Jazz Thapa,,24-Dec
36,Jatin Kaul,,24-Dec
37,Sound Baffles Productions,,24-Dec
38,Malayalam Vibe,,24-Dec
39,Pareek Music,,24-Dec
40,RKJ Digital Media Record,,24-Dec
41,Team Royal India,,24-Dec
42,HR Music Studio,,24-Dec
43,Kamal Beats Music,,24-Dec
44,Twinzy,,24-Dec
45,Gaanasampada Devotional,,24-Dec
46,Devalekhini,,24-Dec
47,Aadhiverse,,24-Dec
48,Soul's Rhythm,,24-Dec
49,Pankaj S Mix,,24-Dec
50,Hashtag Joy,,24-Dec
51,Aum Acharya Music,,24-Dec
52,ARC Studio,,24-Dec
53,Ashwin Chitransh,,24-Dec
54,Sidh Jogi Ji De Sewak Records,,24-Dec
55,Emrose Percussion,,24-Dec
56,SENC Beats,,24-Dec
57,Ruma Records,,24-Dec
58,DNS Music Record,,24-Dec
59,Tushar Garg Music,,25-Jan
60,Sourabh Jain,,25-Jan
61,Music Station Records,,25-Jan
62,Air Dipto,,25-Jan
63,KSM Studios,,25-Jan
64,Daaka Records,,25-Jan
65,MJ Records,,25-Jan
66,Piyush Soni,,25-Jan
67,House Of Trigger,,25-Jan
68,Abadaani Production,,25-Jan
69,Mad Production,,25-Jan
70,Diva Music,,25-Jan
71,Himasri Music and Entertainment,,25-Jan
72,Living In Films,,25-Jan
73,PokStudio,,25-Jan
74,LA Prestige (PTY) Ltd.,,25-Jan
75,Pahari Saga,,25-Jan
76,Melodify Music,,25-Jan
77,Akkiworldwide,,25-Jan
78,Debashish Pal,,25-Jan
79,Basant Gurbani,,25-Jan
80,Mount Recordings,,25-Jan
81,We Have Quality,,25-Jan
82,Shantanu Mundra Records,,25-Jan
83,My Ashraya,,25-Jan
84,JupSun Entertainments,,25-Jan
85,Noir Music,,25-Jan
86,A Cube,,25-Jan
87,Vikkii Raja,,25-Jan
88,Right Melody,,25-Jan
89,NeoWave Records,,25-Jan
90,Raag Raas Records,,25-Jan
91,Smile Records,,25-Jan
92,K25 Music,,25-Jan
93,Rajraunak Productions,,25-Jan
94,BK Production,,25-Jan
95,Cinenx Music,,25-Jan
96,GreatSong.World,,25-Jan
97,Mohit Jassia,,25-Jan
98,Suraj Kumar Record,,25-Jan
99,Love Kang Production,,25-Jan
100,Studio Aryavart,,25-Jan
101,Birha Music Record,,25-Jan
102,Santosh Yadav Birha,,25-Jan
103,Dev Chanchal Official,,25-Jan
104,Mandaan Melodies,,25-Jan
105,Nilesh Pandey Originals,,25-Jan
106,Keshara Music World,,25-Jan
107,Indorie Dhun,,25-Jan
108,Paper Crapper Records,,25-Jan
109,CG Ke Audio,,25-Jan
